season,player_id,player_name,nationality,batting_type,bowling_type,matches,total_runs,total_balls_faced,total_wickets,total_overs,total_runs_conceded,total_mvp,mvp_std,batting_avg,true_strike_rate,bowling_avg,economy,consistency_score
2020/21,380,Mohammad Ashraful,Bangladesh,Right-hand bat,Right-arm offbreak,5,57,62,0,0.0,0,66.36500000000001,13.226385258263122,11.4,91.93548387096774,inf,0.0,7.560644730012342
2020/21,391,Morne Morkel,South Africa,Left-hand bat,Right-arm Fast,6,4,11,5,21.0,176,90.0714,20.045318896440634,0.6666666666666666,36.36363636363637,35.2,8.380952380952381,4.988695890378506
2020/21,466,Peter Siddle,Australia,Right-hand bat,Right-arm medium-fast,13,0,3,19,42.8,323,404.4690032968434,35.41882551515756,0.0,0.0,17.0,7.546728971962617,2.82335731198102
2020/21,470,Mohammad Amir,Pakistan,Left-hand bat,Left-arm Fast,10,27,28,11,38.1,294,292.890243902439,34.21812482338436,2.7,96.42857142857143,26.727272727272727,7.716535433070866,2.9224278219845905
2020/21,478,Eoin Morgan,England,Left-hand bat,Right-arm medium,5,71,57,0,0.0,0,115.28120000000001,21.29950008164511,14.2,124.56140350877195,inf,0.0,4.694945872751972
2020/21,479,Adil Rashid,England,Right-hand bat,Right-arm Leg-Break,8,0,0,6,31.0,218,143.33333333333331,14.85471973524571,0.0,0.0,36.333333333333336,7.032258064516129,6.731867162914596
2020/21,487,Isuru Udana,Sri Lanka,Right-hand bat,Left-arm medium-fast,9,181,80,5,31.6,273,616.9796399535423,81.84025815701436,20.11111111111111,226.25000000000003,54.6,8.639240506329113,1.2218925288352014
2020/21,492,Andre Fletcher,West Indies,Right-hand bat,Right-arm Leg-Break,15,264,189,0,1.0,8,530.782,46.59494952762993,17.6,139.68253968253967,inf,8.0,2.146155345456526
2020/21,494,Kieron Pollard,West Indies,Right-hand bat,Right-arm medium,5,154,81,2,6.2,60,414.99736666666666,82.18062645968872,30.8,190.12345679012347,30.0,9.67741935483871,1.216831804623101
2020/21,496,Lendl Simmons,West Indies,Right-hand bat,Right-arm medium,3,73,52,0,0.0,0,145.8315,9.926016470367149,24.333333333333332,140.3846153846154,inf,0.0,10.07453496561659
2020/21,497,Tamim Iqbal,Bangladesh,Left-hand bat,Right-arm offbreak,9,324,281,0,0.0,0,474.8075,34.03330133341623,36.0,115.30249110320285,inf,0.0,2.9382985511844284
2020/21,499,Shakib Al Hasan,Bangladesh,Left-hand bat,Slow left-arm orthodox,9,110,91,6,34.0,204,344.80989999999997,26.957893752778812,12.222222222222221,120.87912087912088,34.0,6.0,3.7094886164721985
2020/21,500,Shamsur Rahman Shuvo,Bangladesh,Right-hand bat,Right-arm offbreak,9,162,124,0,0.0,0,264.8055,22.91347164213664,18.0,130.64516129032256,inf,0.0,4.364244823386143
